prompt,blend,repulsion,gravity,speed,temp,sigma,score,verdict,avg_drift,max_drift,variance,first_100_chars
TroyWeight,0.8,-0.8,0.4,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5908,1.0830,0.0455,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-0.8,0.4,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.5666,0.9700,0.0327,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-0.8,0.6,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5636,0.9030,0.0283,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-0.8,0.6,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.6091,0.9650,0.0398,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-0.8,0.9,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5330,0.9480,0.0321,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-0.8,0.9,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.5311,0.9020,0.0255,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-0.8,1.2,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5691,0.9020,0.0361,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-0.8,1.2,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.5384,0.9730,0.0336,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-1.3,0.4,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5077,0.8960,0.0286,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-1.3,0.4,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.5949,0.9960,0.0420,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-1.3,0.6,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5430,0.9420,0.0290,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-1.3,0.6,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.5431,0.9660,0.0306,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-1.3,0.9,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5303,0.9510,0.0348,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-1.3,0.9,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.5540,0.9590,0.0350,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-1.3,1.2,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5076,0.9480,0.0322,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-1.3,1.2,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.5545,0.9660,0.0368,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-2.0,0.4,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5736,1.0280,0.0429,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-2.0,0.4,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.6042,1.0500,0.0377,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-2.0,0.6,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5409,0.9060,0.0247,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-2.0,0.6,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.6094,1.0640,0.0357,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-2.0,0.9,0.15,0.7,0.05,0,⚖️ WOBBLE (both),0.5452,0.9540,0.0334,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
TroyWeight,0.8,-2.0,0.9,0.25,0.7,0.05,0,⚖️ WOBBLE (both),0.5458,0.9020,0.0243,"A pound of lead and a pound of gold both weigh the same amount: one pound. The key difference is tha"
